# WP2-P7B non-scored physical qualification evidence inventory v1
# Format: CLASS|RELATIVE_PATH_OR_SIGNAL|NONEMPTY|DESCRIPTION
# No outcome file may authorize scoring. All three cells are qualification only.

REQUIRED|analysis/b1_w1_manifest_comparison.json|yes|Exact matched-field verdict
REQUIRED|analysis/p7b_reconstruction.json|yes|Machine-readable qualification reconstruction
REQUIRED|analysis/p7b_reconstruction.md|yes|Human-readable qualification report
GENERATED|escrow/SOURCE_SHA256SUMS.txt|yes|Internal raw evidence SHA-256 authority
GENERATED|escrow/PERSISTENT_SHA256SUMS.txt|yes|Verified /proj copy hashes
GENERATED|escrow/escrow_provenance.json|yes|Reservation/run/source/destination provenance
GENERATED|escrow/PERSISTENT_ESCROW_GATE.PASS|yes|Persistent copy verified
GENERATED|escrow/CONTROLLER_OFFPOWDER_REQUIRED|yes|Independent controller round-trip still required
CONTROLLER_SIGNAL|CONTROLLER_PULL_GATE=PASS|yes|Persistent bundle pulled and internal hashes verified
CONTROLLER_SIGNAL|CONTROLLER_BUNDLE_SHA256=<64hex>|yes|Deterministic TAR outer hash
CONTROLLER_SIGNAL|CONTROLLER_OFFPOWDER_GATE=PASS|yes|Independent artifact read-back verified
CONTROLLER_SIGNAL|EVIDENCE_ESCROW_GATE=PASS|yes|Only teardown-critical evidence authority
CONTROLLER_SIGNAL|TEARDOWN_AUTHORIZED=YES|yes|May exist only after outer/internal round-trip PASS
