id,year,title,venue,doi,domain,real_hardware,controlled_connectivity_impairment,physical_rf_impairment,process_restart_test,durable_client_or_app_state,idempotent_or_duplicate_control,replication_or_large_campaign,open_or_repro_artifact,threat_level,wellpulse_implication
RW11,2026,"Resilient IIoT Communication via Edge-Based Store-and-Forward and SLO Monitoring","Workshop de Testes e Tolerância a Falhas",10.5753/wtf.2026.24074,"IIoT edge resilience",UNKNOWN,YES_WAN_INSTABILITY_SCOPE,NO_EVIDENCE,UNKNOWN,YES_STORE_AND_FORWARD,UNKNOWN,WORK_IN_PROGRESS,UNKNOWN,HIGH,"Directly crowds IIoT store-and-forward positioning."
RW12,2016,"Gateway-Assisted Retransmission for Lightweight and Reliable IoT Communications","Sensors",10.3390/s16101560,"MQTT-SN/CoAP reliability",NO_SIMULATION,YES_MODELED,NO,NO,RETRANSMISSION_STATE,UNKNOWN,SIMULATION_CAMPAIGN,UNKNOWN,MEDIUM,"Generic retransmission reliability is established."
RW13,2021,"Stress-Testing MQTT Brokers: A Comparative Analysis of Performance Measurements","Energies",10.3390/en14185817,"MQTT broker benchmarking",TESTBED,LOAD_STRESS,NO,NO,NA,NA,YES,UNKNOWN,LOW_MEDIUM,"Do not frame WellPulse as broker performance benchmark."
RW14,2017,"Thorough IoT testbed characterization: From proof-of-concept to repeatable experimentations","Computer Networks",10.1016/j.comnet.2017.03.012,"FIT IoT-LAB methodology",YES,CHARACTERIZATION,REAL_WIRELESS_CHARACTERIZATION,NO,NA,NA,REPEATED_TESTBED_EXPERIMENTS,YES_TESTBED,ANCHOR,"Supports explicit repeatability and environment/link characterization."
RW15,2020,"POWDER: Platform for Open Wireless Data-driven Experimental Research","WiNTECH",10.1145/3411276.3412204,"wireless testbed methodology",YES,YES_CONTROLLED_ENVIRONMENT,YES_CONTROLLED_RF_ATTENUATOR_MATRIX,NO,NA,NA,PLATFORM,YES_TESTBED,ANCHOR,"Supports conducted controlled RF then living/OTA validation as distinct layers."
RW16,2026,"Design of an Energy-Optimized IoT System for Off-Grid Agriculture: Solar-Powered Monitoring and Irrigation Control","Scientific African",10.1016/j.sciaf.2026.e03533,"off-grid agriculture",YES_REAL_DEPLOYMENT,REAL_CONNECTIVITY,REAL_GSM_GPRS_BUT_NO_CAUSAL_ATTENUATION,UNKNOWN,UNKNOWN,UNKNOWN,"YES_7_DAY_DEPLOYMENT",UNKNOWN,VERY_HIGH,"Solar/agriculture/MQTT is application prior art; current WellPulse claims must remain networking-focused."
RW17,2026,"Real-Time Remote Monitoring of Environmental Conditions and Actuator Status in Smart Greenhouses Using a Smartphone Application","Sensors",10.3390/s26051548,"greenhouse IoT",YES_LARGE_DEPLOYMENT,REAL_NETWORK,REAL_LORAWAN_BUT_NO_CAUSAL_ATTENUATION,UNKNOWN,UNKNOWN,UNKNOWN,"54_SENSOR_12_ACTUATOR_NODES",UNKNOWN,MEDIUM_HIGH,"Generic agricultural monitoring/scalability is not novelty."
RW18,2024,"A Survey on Industrial Internet of Things (IIoT) Testbeds for Connectivity Research",arXiv,UNKNOWN,"IIoT testbeds",SURVEY,NA,NA,NA,NA,NA,SURVEY,NA,CONTEXT,"Supports staged connectivity testbed evaluation; lower evidentiary weight than primary studies."
RW19,2024,"Adaptive Seamless Redundancy to Achieve Highly Dependable MQTT Communication","IEEE Transactions on Industrial Informatics",10.1109/TII.2023.3271708,"IIoT MQTT dependability",YES_TESTBED,YES_CRITICAL_LOSS_CONDITIONS,NO_CAUSAL_RF_EVIDENCE,NO_EVIDENCE,REDUNDANT_MULTI_PATH_MQTT,"YES_SEQUENCE_AND_PUBLISHER_IDENTIFIERS_FOR_REDUNDANCY","YES_1M_MESSAGES_55H_CAMPAIGN",OPEN_AUTHOR_VERSION,VERY_HIGH,"Highly dependable MQTT and message identifiers are prior art; WellPulse must distinguish durable single-path record semantics/process restart/physical RF rather than generic dependability."
RW20,2022,"Delay and Energy Consumption of MQTT over QUIC: An Empirical Characterization Using Commercial-Off-The-Shelf Devices","Sensors",UNKNOWN,"IIoT transport benchmark",YES_RASPBERRY_PI,"YES_NETEM_DELAY_BANDWIDTH_LOSS",NO_SOFTWARE_EMULATION,NO,NA,NA,YES_MEASUREMENT_CAMPAIGN,YES_CODE_REPORTED,MEDIUM,"Real-device MQTT testbed automation and impairment benchmarking are established; physical RF remains differentiator."
RW21,2026,"An IoT-enabled Digital Twin for induction motors: design and performance analysis of a low-latency MQTT/Wi-Fi monitoring system",UNKNOWN,UNKNOWN,"industrial motor monitoring",YES,"AMBIENT_INTERFERENCE_AND_RETRY_BUFFERING",REAL_WIFI_OBSERVED_RSSI_NOT_CAUSALLY_CONTROLLED,UNKNOWN,TEMPORARY_RETRY_BUFFER,UNKNOWN,TWO_HOUR_TEST,UNKNOWN,MEDIUM_HIGH,"Industrial motor+MQTT+buffering is crowded; causal RF and durable restart/reconciliation are needed."
RW22,2026,"STGen: A Lightweight Process-Based Testbed for Scalable IoT Protocol Evaluation with Physically Validated Synthetic Sensor and Anomaly Generation",UNKNOWN,UNKNOWN,"IoT protocol testbed",SOFTWARE_WITH_REAL_DATA_CALIBRATION,"YES_NETEM_AND_LIVE_WAN",NO_PHY_MAC_MODEL,NO,NA,NA,"YES_6000_PROCESSES_LIVE_OVERLAY",UNKNOWN,MEDIUM,"Reproducible protocol impairment frameworks are current; WellPulse's real physical-RF layer must be explicit."
